stribID,NameInRealtorsData,GEOID,FullName,CityName,ZillowName,COUNTY,STATE,subdiv_geoid,subdiv_full_name,multiplecounties,location,County13,type,neighborhoodname
154,Saint Paul,16000US2758000,"St. Paul, MN",St. Paul,Saint Paul,"Ramsey, Dakota",MN,06000US2712358000,"St. Paul city, Ramsey County, MN",2,Core cities,y,city,
155,White Bear Lake,16000US2769970,"White Bear Lake, MN",White Bear Lake,White Bear Lake,"Ramsey, Washington",MN,06000US2712369970,"White Bear Lake city, Ramsey County, MN",2,inner suburbs,y,city,
156,Dellwood,16000US2715616,"Dellwood, MN",Dellwood,,"Ramsey, Washington",MN,06000US2716315616,"Dellwood city, Washington County, MN",2,inner suburbs,y,city,
157,Shakopee,16000US2759350,"Shakopee, MN",Shakopee,Shakopee,Scott,MN,06000US2713959350,"Shakopee city, Scott County, MN",,outer suburbs,y,city,
158,Savage,16000US2758738,"Savage, MN",Savage,Savage,Scott,MN,06000US2713958738,"Savage city, Scott County, MN",,outer suburbs,y,city,
159,Prior Lake,16000US2752594,"Prior Lake, MN",Prior Lake,Prior Lake,Scott,MN,06000US2713952594,"Prior Lake city, Scott County, MN",,outer suburbs,y,city,
160,Jordan,16000US2732174,"Jordan, MN",Jordan,Jordan,Scott,MN,06000US2713932174,"Jordan city, Scott County, MN",,outer suburbs,y,city,
161,Elko New Market,16000US2718662,"Elko New Market, MN",Elko New Market,Elko New Market,Scott,MN,06000US2713918662,"Elko New Market city, Scott County, MN",,outer suburbs,y,city,
162,Belle Plaine,16000US2704834,"Belle Plaine, MN",Belle Plaine,Belle Plaine,"Scott, Carver, Le Sueur, Sibley",MN,06000US2713904834,"Belle Plaine city, Scott County, MN",4,Exurbs,y,city,
163,Clear Lake,16000US2711764,"Clear Lake, MN",Clear Lake,Clear Lake,Sherburne,MN,06000US2714111764,"Clear Lake city, Sherburne County, MN",,Exurbs,y,city,
164,Big Lake,16000US2705752,"Big Lake, MN",Big Lake,Big Lake,Sherburne,MN,06000US2714105752,"Big Lake city, Sherburne County, MN",,Exurbs,y,city,
165,Becker,16000US2704618,"Becker, MN",Becker,Becker,Sherburne,MN,06000US2714104618,"Becker city, Sherburne County, MN",,Exurbs,y,city,
166,Zimmerman,16000US2772238,"Zimmerman, MN",Zimmerman,Zimmerman,"Sherburne, Isanti",MN,06000US2714172238,"Zimmerman city, Sherburne County, MN",2,Exurbs,y,city,
167,Winthrop,16000US2771122,"Winthrop, MN",Winthrop,,Sibley,MN,06000US2714371122,"Winthrop city, Sibley County, MN",,Exurbs,n,city,
168,New Auburn,16000US2745376,"New Auburn, MN",New Auburn,,Sibley,MN,06000US2714345376,"New Auburn city, Sibley County, MN",,Exurbs,n,city,
169,Green Isle,16000US2725658,"Green Isle, MN",Green Isle,,Sibley,MN,06000US2714325658,"Green Isle city, Sibley County, MN",,Exurbs,n,city,
170,Gibbon,16000US2723678,"Gibbon, MN",Gibbon,,Sibley,MN,06000US2714323678,"Gibbon city, Sibley County, MN",,Exurbs,n,city,
171,Gaylord,16000US2723300,"Gaylord, MN",Gaylord,,Sibley,MN,06000US2714323300,"Gaylord city, Sibley County, MN",,Exurbs,n,city,
172,Arlington,16000US2702152,"Arlington, MN",Arlington,,Sibley,MN,06000US2714302152,"Arlington city, Sibley County, MN",,Exurbs,n,city,
173,Woodville,16000US5589025,"Woodville, WI",Woodville,Woodville,St. Croix,WI,06000US5510989025,"Woodville village, St. Croix County, WI",,Exurbs,n,city,
174,Wilson,16000US5587475,"Wilson, WI",Wilson,Wilson,St. Croix,WI,06000US5510987475,"Wilson village, St. Croix County, WI",,Exurbs,n,city,
175,Star Prairie,16000US5576825,"Star Prairie, WI",Star Prairie,,St. Croix,WI,06000US5510976825,"Star Prairie village, St. Croix County, WI",,Exurbs,n,city,
176,Somerset,16000US5574675,"Somerset, WI",Somerset,Somerset,St. Croix,WI,06000US5510974675,"Somerset village, St. Croix County, WI",,Exurbs,y,city,
177,Roberts,16000US5568475,"Roberts, WI",Roberts,Roberts,St. Croix,WI,06000US5510968475,"Roberts village, St. Croix County, WI",,Exurbs,n,city,
178,North Hudson,16000US5558050,"North Hudson, WI",North Hudson,,St. Croix,WI,06000US5510958050,"North Hudson village, St. Croix County, WI",,Exurbs,n,city,
179,New Richmond,16000US5557100,"New Richmond, WI",New Richmond,New Richmond,St. Croix,WI,06000US5510957100,"New Richmond city, St. Croix County, WI",,Exurbs,y,city,
180,Hudson,16000US5536250,"Hudson, WI",Hudson,Hudson,St. Croix,WI,06000US5510936250,"Hudson city, St. Croix County, WI",,Exurbs,y,city,
181,Houlton,16000US5535900,"Houlton, WI",,,St. Croix,WI,,Houlton CDP,,Exurbs,n,city,
182,Hammond,16000US5532325,"Hammond, WI",Hammond,Hammond,St. Croix,WI,06000US5510932325,"Hammond village, St. Croix County, WI",,Exurbs,y,city,
183,Glenwood City,16000US5529625,"Glenwood City, WI",Glenwood City,Glenwood City,St. Croix,WI,06000US5510929625,"Glenwood City city, St. Croix County, WI",,Exurbs,n,city,
184,Emerald,16000US5523900,"Emerald, WI",Emerald,,St. Croix,WI,06000US5510923925,"Emerald town, St. Croix County, WI",,Exurbs,n,city,
185,Deer Park,16000US5519325,"Deer Park, WI",Deer Park,Deer Park,St. Croix,WI,06000US5510919325,"Deer Park village, St. Croix County, WI",,Exurbs,n,city,
186,Baldwin,16000US5504400,"Baldwin, WI",Baldwin,Baldwin,"St. Croix, Pierce",WI,06000US5510904400,"Baldwin village, St. Croix County, WI",2,Exurbs,n,city,
187,Woodbury,16000US2771428,"Woodbury, MN",Woodbury,Woodbury,Washington,MN,06000US2716371428,"Woodbury city, Washington County, MN",,inner suburbs,y,city,
188,Willernie,16000US2770366,"Willernie, MN",Willernie,Willernie,Washington,MN,06000US2716370366,"Willernie city, Washington County, MN",,inner suburbs,y,city,
